ID,Name,Date,Location,Region,Description,EventLink,Banner,Circle
0d994c7c-3c8a-4e74-b2d3-4b6f46d29c0d,ContentCreators Showcase,18/09/2024 11:30,"Creative Lounge, Content Corner",Adland,Showcasing the best in content creation and storytelling for effective marketing.,https://www.event.com/0d994c7c-3c8a-4e74-b2d3-4b6f46d29c0d,https://raw.githubusercontent.com/camrobert/SFMC-with-me/main/001-Dynamic%20Content%20Blocks/Images/0d994c7c-3c8a-4e74-b2d3-4b6f46d29c0d.png,https://raw.githubusercontent.com/camrobert/SFMC-with-me/main/001-Dynamic%20Content%20Blocks/Images/0d994c7c-3c8a-4e74-b2d3-4b6f46d29c0d-s.png
ac894c6a-6d4a-471c-a1c8-9b317ca4f1e1,VideoMarketing Expo,1/12/2024 12:30,"VisualVista Hall, Video Square",Adland,Master the art of video marketing for enhanced audience engagement.,https://www.event.com/ac894c6a-6d4a-471c-a1c8-9b317ca4f1e1,https://raw.githubusercontent.com/camrobert/SFMC-with-me/main/001-Dynamic%20Content%20Blocks/Images/ac894c6a-6d4a-471c-a1c8-9b317ca4f1e1.png,https://raw.githubusercontent.com/camrobert/SFMC-with-me/main/001-Dynamic%20Content%20Blocks/Images/ac894c6a-6d4a-471c-a1c8-9b317ca4f1e1-s.png
e89f210e-4514-4c7b-a57d-6b10ea8682c2,InteractiveAds Summit,15/01/2024 10:00,"Engage Convention Center, Interactive Street",Adland,Explore the future of interactive advertising and engagement strategies.,https://www.event.com/e89f210e-4514-4c7b-a57d-6b10ea8682c2,https://raw.githubusercontent.com/camrobert/SFMC-with-me/main/001-Dynamic%20Content%20Blocks/Images/e89f210e-4514-4c7b-a57d-6b10ea8682c2.png,https://raw.githubusercontent.com/camrobert/SFMC-with-me/main/001-Dynamic%20Content%20Blocks/Images/e89f210e-4514-4c7b-a57d-6b10ea8682c2-s.png
6891ef87-6b69-46b8-a879-9db9a3e2e1e6,PodcastMarketing Expo,15/12/2024 10:30,"AudioSphere Convention Center, Podcast Lane",Adland,Harness the power of podcasting for effective marketing and brand storytelling.,https://www.event.com/6891ef87-6b69-46b8-a879-9db9a3e2e1e6,https://raw.githubusercontent.com/camrobert/SFMC-with-me/main/001-Dynamic%20Content%20Blocks/Images/6891ef87-6b69-46b8-a879-9db9a3e2e1e6.png,https://raw.githubusercontent.com/camrobert/SFMC-with-me/main/001-Dynamic%20Content%20Blocks/Images/6891ef87-6b69-46b8-a879-9db9a3e2e1e6-s.png
3cfac827-3d42-4e22-94f3-b12751c8a3a5,BrandCrafters Expo,10/03/2024 10:30,"Metropolitan Marketing Mansion, Madison Street",Analytica,Unleash your creativity and master the art of brand crafting.,https://www.event.com/3cfac827-3d42-4e22-94f3-b12751c8a3a5,https://raw.githubusercontent.com/camrobert/SFMC-with-me/main/001-Dynamic%20Content%20Blocks/Images/3cfac827-3d42-4e22-94f3-b12751c8a3a5.png,https://raw.githubusercontent.com/camrobert/SFMC-with-me/main/001-Dynamic%20Content%20Blocks/Images/3cfac827-3d42-4e22-94f3-b12751c8a3a5-s.png
7f2bd7a7-4c5f-4ef4-8a0b-62c6cf759663,SEO Strategies Symposium,20/05/2024 9:30,"Optimize Arena, Search Street",Analytica,Learn advanced SEO strategies to boost your website's visibility and rankings.,https://www.event.com/7f2bd7a7-4c5f-4ef4-8a0b-62c6cf759663,https://raw.githubusercontent.com/camrobert/SFMC-with-me/main/001-Dynamic%20Content%20Blocks/Images/7f2bd7a7-4c5f-4ef4-8a0b-62c6cf759663.png,https://raw.githubusercontent.com/camrobert/SFMC-with-me/main/001-Dynamic%20Content%20Blocks/Images/7f2bd7a7-4c5f-4ef4-8a0b-62c6cf759663-s.png
8c0f31b4-9a68-4f3c-8420-eb587d4e17e7,BlockchainMarketing Summit,8/06/2024 11:45,"CryptoConnect Center, Blockchain Boulevard",Analytica,Discover the impact of blockchain technology on marketing and advertising.,https://www.event.com/8c0f31b4-9a68-4f3c-8420-eb587d4e17e7,https://raw.githubusercontent.com/camrobert/SFMC-with-me/main/001-Dynamic%20Content%20Blocks/Images/8c0f31b4-9a68-4f3c-8420-eb587d4e17e7.png,https://raw.githubusercontent.com/camrobert/SFMC-with-me/main/001-Dynamic%20Content%20Blocks/Images/8c0f31b4-9a68-4f3c-8420-eb587d4e17e7-s.png
a6a8e79f-9db2-4fb4-a1f9-8a62c9276831,DigitalMarketing Summit 2024,15/02/2024 9:00,"TechHub Conference Center, Silicon Avenue",Innovatopia,Explore the latest trends and strategies in digital marketing.,https://www.event.com/a6a8e79f-9db2-4fb4-a1f9-8a62c9276831,https://raw.githubusercontent.com/camrobert/SFMC-with-me/main/001-Dynamic%20Content%20Blocks/Images/a6a8e79f-9db2-4fb4-a1f9-8a62c9276831.png,https://raw.githubusercontent.com/camrobert/SFMC-with-me/main/001-Dynamic%20Content%20Blocks/Images/a6a8e79f-9db2-4fb4-a1f9-8a62c9276831-s.png
bb8f108a-d0c1-46d8-aa5f-7c3f1a1d6219,SocialMedia Expo 2024,12/06/2024 12:00,"ConnectX Center, Social Square",Innovatopia,Unlock the power of social media for your marketing campaigns.,https://www.event.com/bb8f108a-d0c1-46d8-aa5f-7c3f1a1d6219,https://raw.githubusercontent.com/camrobert/SFMC-with-me/main/001-Dynamic%20Content%20Blocks/Images/bb8f108a-d0c1-46d8-aa5f-7c3f1a1d6219.png,https://raw.githubusercontent.com/camrobert/SFMC-with-me/main/001-Dynamic%20Content%20Blocks/Images/bb8f108a-d0c1-46d8-aa5f-7c3f1a1d6219-s.png
fd7c20d8-25d7-45d2-a799-146db5854db2,DataDriven Marketing Symposium,8/07/2024 13:45,"Insights Pavilion, Data Drive",Innovatopia,Harness the potential of data-driven marketing strategies for business growth.,https://www.event.com/fd7c20d8-25d7-45d2-a799-146db5854db2,https://raw.githubusercontent.com/camrobert/SFMC-with-me/main/001-Dynamic%20Content%20Blocks/Images/fd7c20d8-25d7-45d2-a799-146db5854db2.png,https://raw.githubusercontent.com/camrobert/SFMC-with-me/main/001-Dynamic%20Content%20Blocks/Images/fd7c20d8-25d7-45d2-a799-146db5854db2-s.png
